Place Name,Country,State,City,Postal Code,Latitude,Longitude,Image Link,Image Scenery,Image Source,Clicked By,Description,Best Time to Visit,Rating,Date Added,Actual Link
DARJEELING HIMALAYAN RAILWAY,INDIA,WEST BENGAL,DARJEELING,,27.041,88.2663,https://res.cloudinary.com/dayxy7ulu/image/upload/v1770384227/toy_train_-_Darjeeling_csdb0s.jpg,TOY TRAIN,PINTEREST,,"The iconic toy train of the Darjeeling Himalayan Railway running through hill towns and lush landscapes, recognized as a UNESCO World Heritage Site.","MARCH â€“ JUNE, SEPTEMBER â€“ NOVEMBER",5,06-02-2026 19:05,https://in.pinterest.com/pin/77194581106965912/
KANCHANJUNGA (K2),INDIA,WEST BENGAL,DARJEELING,,27.7025,88.1475,https://res.cloudinary.com/dayxy7ulu/image/upload/v1770294336/K2_kanchanjangha_mountain_peak__Darjeeling._Nature_photography._North_East_Indian__trxhrh.jpg,MOUNTAIN PEAK,PINTEREST,,"A majestic view of the snow-covered Kanchanjunga mountain peak captured from Darjeeling, showcasing the natural beauty of North East India.",October â€“ April,5,06-02-2026 19:09,https://in.pinterest.com/pin/172825704446482585/
I LOVE DARJEELING VIEWPOINT,INDIA,WEST BENGAL,DARJEELING,,27.036,88.2627,https://res.cloudinary.com/dayxy7ulu/image/upload/v1770385301/I_Darjeeling_yg0iic.jpg,HILL VIEW / CITYSCAPE,PINTEREST,,A popular viewpoint in Darjeeling featuring the iconic â€œI â¤ï¸ DARJEELINGâ€ sign with panoramic views of the surrounding hills and town.,"MARCH â€“ JUNE, SEPTEMBER â€“ NOVEMBER",3,06-02-2026 19:15,https://in.pinterest.com/pin/403635185371639073/
DARJEELING TEA GARDEN,INDIA,WEST BENGAL,DARJEELING,,27.048,88.23,https://res.cloudinary.com/dayxy7ulu/image/upload/v1770385637/Darjeeling_India_lrbiws.jpg,TEA GARDEN,PINTEREST,,"Tea workers plucking fresh tea leaves in the lush green tea gardens of Darjeeling, known worldwide for premium tea cultivation.","MARCH â€“ MAY, SEPTEMBER â€“ NOVEMBER",3,06-02-2026 19:19,https://in.pinterest.com/pin/298645019062100240/
DAKSHINESWAR KALI TEMPLE,INDIA,WEST BENGAL,KOLKATA,700076.0,22.6552,88.3575,https://res.cloudinary.com/dayxy7ulu/image/upload/v1770386269/pexels-arya-ketan-2037498446-29263819_cgwr72.jpg,TEMPLE / HERITAGE,PEXELS,Photo by Arya Ketan,"The iconic Dakshineswar Kali Temple situated on the banks of the Hooghly River in Kolkata, known for its spiritual significance and classic Bengali temple architecture.",ALL,5,06-02-2026 19:30, https://www.pexels.com/photo/dakshineswar-kali-temple-in-kolkata-india-29263819/
KUMARTULI IDOL MAKING WORKSHOP,INDIA,WEST BENGAL,KOLKATA,700005.0,22.6026,88.3639,https://res.cloudinary.com/dayxy7ulu/image/upload/v1770386729/pexels-arya-ketan-2037498446-32858030_cbxrg9.jpg,ARTIST PAINTING IDOLS IN KOLKATA WORKSHOP,PEXELS,ARYA KETAN,"An artisan carefully painting clay idols in a traditional Kumartuli workshop, highlighting Kolkataâ€™s rich cultural heritage and craftsmanship.",AUGUST â€“ OCTOBER (PRE-DURGA PUJA SEASON),3,06-02-2026 19:39,https://www.pexels.com/photo/artisan-painting-idols-in-kolkata-workshop-32858030/
HOWRAH BRIDGE (RABINDRA SETU),INDIA,WEST BENGAL,KOLKATA,,22.585,88.3468,https://res.cloudinary.com/dayxy7ulu/image/upload/v1770387079/pexels-arya-ketan-2037498446-32857998_vlss7z.jpg,CHILDREN JUMPING INTO THE HOOGHLY RIVER NEAR HOWRAH BRIDGE,PEXELS,Arya Ketan,"Two boys leap into the Hooghly River near Howrah Bridge, capturing a raw, everyday moment of childhood, freedom, and riverfront life in Kolkata.",OCTOBER â€“ FEBRUARY (WINTER & POSTâ€“MONSOON SEASON),3,06-02-2026 19:46,https://www.pexels.com/photo/boys-jumping-by-howrah-bridge-in-kolkata-32857998/
KUMARTULI,INDIA,WEST BENGAL,KOLKATA,700005.0,22.6046,88.3619,https://res.cloudinary.com/dayxy7ulu/image/upload/v1770387744/pexels-soumalya-halder-2148057301-33098231_fqnam1.jpg,CULTURE / HERITAGE,PEXELS,SOUMALYA HALDER,"A traditional clay Durga idol under construction at Kumartuli, the historic artisan quarter of Kolkata famous for handcrafted idols made for Durga Puja.",AUGUST â€“ OCTOBER,5,06-02-2026 19:53,https://www.pexels.com/photo/traditional-durga-idol-in-kumartuli-kolkata-33098231/
VICTORIA MEMORIAL,INDIA,WEST BENGAL,KOLKATA,700071.0,22.5448,88.3426,https://res.cloudinary.com/dayxy7ulu/image/upload/v1771242310/pexels-utsaw-pan-2154961506-34719453_dwyv5z.jpg,VICTORIA MEMORIAL,PEXELS,Utsaw Pan,"The iconic white marble Victoria Memorial, a grand colonial-era monument and museum surrounded by lush gardens in central Kolkata.",ALL,5,16-02-2026 17:17,https://www.pexels.com/photo/victoria-memorial-kolkata-at-dusk-34719453/
VICTORIA MEMORIAL,INDIA,WEST BENGAL,KOLKATA,700071.0,22.5448,88.3426,https://res.cloudinary.com/dayxy7ulu/image/upload/v1771242668/pexels-abhishek-sheth-207184-7191661_b616uv.jpg,VICTORIA MEMORIAL,PEXELS,Abhishek Sheth,"The iconic white marble Victoria Memorial, a grand colonial-era monument and museum surrounded by lush gardens in central Kolkata.",ALL,3,16-02-2026 17:21,https://www.pexels.com/photo/victoria-memorial-calcutta-7191661/
PRINSEP GHAT,INDIA,WEST BENGAL,KOLKATA,700021.0,22.5564,88.3373,https://res.cloudinary.com/dayxy7ulu/image/upload/v1771242917/7a56cbe2e99ad34953c5d3ea85990bfe_rhgjgf.jpg,RIVER SIDE,PINTEREST,https://in.pinterest.com/sorshe_ilishhh/,"A scenic riverside ghat along the Hooghly River known for its colonial monument, Howrah Bridge views, and vibrant evening atmosphere.",OCTOBER â€“ FEBRUARY,5,16-02-2026 17:27,https://pin.it/Lf0OOL1ds
PRINSEP GHAT,INDIA,WEST BENGAL,KOLKATA,700021.0,22.5564,88.3373,https://res.cloudinary.com/dayxy7ulu/image/upload/v1771243118/6ab9174709f48220573ab2e265a5e63a_slqftp.jpg,RIVER SIDE,PINTEREST,https://in.pinterest.com/imxtaha/,"A scenic riverside ghat along the Hooghly River known for its colonial monument, Howrah Bridge views, and vibrant evening atmosphere.",OCTOBER â€“ FEBRUARY,5,16-02-2026 17:29,https://pin.it/2hRa9W1MA
INDIAN MUSEUM,INDIA,WEST BENGAL,KOLKATA,700016.0,22.558,88.351,https://res.cloudinary.com/dayxy7ulu/image/upload/v1771243344/ae2d66d8c59a50503f48081d5e17faf5_rcdsyl.jpg,MUSEUM,PINTEREST,,"The oldest and largest museum in India, showcasing rare artifacts, fossils, art, and cultural collections in a historic colonial building.",ALL,5,16-02-2026 17:33,https://pin.it/gqQRX4Vuz
INDIAN MUSEUM,INDIA,WEST BENGAL,KOLKATA,700016.0,22.558,88.351,https://res.cloudinary.com/dayxy7ulu/image/upload/v1771243466/Indian_Museum_Kolkata_x5brjy.jpg,MUSEUM,PINTEREST,,"The oldest and largest museum in India, showcasing rare artifacts, fossils, art, and cultural collections in a historic colonial building.",ALL,5,16-02-2026 17:34,https://pin.it/2zhcvBdqD
ST. PAUL'S CATHEDRAL,INDIA,WEST BENGAL,KOLKATA,700071.0,22.5449,88.3426,https://res.cloudinary.com/dayxy7ulu/image/upload/v1771243966/Photo_of_the_week___St__Paul_s_Cathedral_Kolkata_sxwavz.jpg,RELIGIOUS / ARCHITECTURE,PINTEREST,,A magnificent Gothic-style Anglican cathedral known for its stained glass windows and serene architecture near Victoria Memorial.,OCTOBER - MARCH,4,16-02-2026 17:41,https://pin.it/7fPNbpEIf
ST. PAULâ€™S CATHEDRAL,INDIA,WEST BENGAL,KOLKATA,700071.0,22.5449,88.3426,https://res.cloudinary.com/dayxy7ulu/image/upload/v1771244050/St__Paul_s_cathedral_ufpgao.jpg,RELIGIOUS / ARCHITECTURE,PINTEREST,,A magnificent Gothic-style Anglican cathedral known for its stained glass windows and serene architecture near Victoria Memorial.,,4,16-02-2026 17:45,https://pin.it/5HMlHpvkv
ECO PARK,INDIA,WEST BENGAL,"NEW TOWN, KOLKATA",700156.0,22.5804,88.4706,https://res.cloudinary.com/dayxy7ulu/image/upload/v1771244467/08b48fc66880b8dfaa077e26927e04de_xbfxjc.jpg,BANGLA MISTI HUB,HTTPS://ECOPARKNEWTOWN.COM/GALLERY-CATEGORY,https://ecoparknewtown.com/gallery-category,"Bangla Misti Hub at Eco Park is a unique destination dedicated to traditional Bengali sweets, offering a wide variety of authentic delicacies from renowned sweet makers across West Bengal.",OCTOBER â€“ FEBRUARY,4,16-02-2026 17:51,https://ecoparknewtown.com/upload_file/gallery/08b48fc66880b8dfaa077e26927e04de.jpg
ECO PARK,INDIA,WEST BENGAL,"NEW TOWN, KOLKATA",700156.0,22.5804,88.4706,https://res.cloudinary.com/dayxy7ulu/image/upload/v1771244561/1b63d1124bd13a100e781c44dc90ebb6_ewkum6.jpg,DHAMSA TRIBAL KITCHEN,HTTPS://ECOPARKNEWTOWN.COM/GALLERY-CATEGORY,https://ecoparknewtown.com/gallery-category,"Dhamsa Tribal Kitchen is a culturally themed restaurant in Eco Park showcasing authentic tribal cuisine, traditional décor, and the rich culinary heritage of indigenous communities of Eastern India.",OCTOBER â€“ FEBRUARY,4,16-02-2026 17:53,https://ecoparknewtown.com/upload_file/gallery/1b63d1124bd13a100e781c44dc90ebb6.jpg
ECO PARK,INDIA,WEST BENGAL,"NEW TOWN, KOLKATA",700156.0,22.5804,88.4706,https://res.cloudinary.com/dayxy7ulu/image/upload/v1771244651/67ceb19489c6f3b7cf6c99152b90884d_dnfc3o.jpg,JAPANESE GARDEN,HTTPS://ECOPARKNEWTOWN.COM/GALLERY-CATEGORY,https://ecoparknewtown.com/gallery-category,"A serene Japanese-themed garden inside Eco Park featuring traditional bridges, manicured landscapes, water bodies, and peaceful Zen-inspired architecture.",OCTOBER â€“ FEBRUARY,4,16-02-2026 17:55,https://ecoparknewtown.com/upload_file/gallery/67ceb19489c6f3b7cf6c99152b90884d.jpg
ECO PARK,INDIA,WEST BENGAL,"NEW TOWN, KOLKATA",700156.0,22.5804,88.4706,https://res.cloudinary.com/dayxy7ulu/image/upload/v1771244826/9610e1ba91828f8af31cf62ebb1991bb_z6s4jh.jpg,HARINALAYA,HTTPS://ECOPARKNEWTOWN.COM/GALLERY-CATEGORY,https://ecoparknewtown.com/gallery-category,"Harinalaya in Eco Park is a peaceful deer enclosure where visitors can observe spotted deer in a natural, green habitat setting.",OCTOBER â€“ FEBRUARY,4,16-02-2026 17:57,https://ecoparknewtown.com/upload_file/gallery/9610e1ba91828f8af31cf62ebb1991bb.jpg
DAKSHINESWAR KALI TEMPLE,INDIA,WEST BENGAL,KOLKATA,700076,22.6555,88.3572,https://res.cloudinary.com/dayxy7ulu/image/upload/v1771246264/Dakshineswar_Kali_Temple_qa4fck.jpg,RELIGIOUS / RIVERSIDE,PINTEREST,NA,"A renowned riverside temple dedicated to Goddess Kali, famous for its spiritual significance and association with Sri Ramakrishna.",OCTOBER - MARCH,5,2026-02-16 18:23:29,https://pin.it/2Z7Z5OuJo
